fpid,doi,impact_matrix,factor1_title,factor1_direction,factor2_title,factor2_direction,factor3_title,factor3_direction,factor4_title,factor4_direction,factor5_title,factor5_direction,factor6_title,factor6_direction,factor7_title,factor7_direction,factor8_title,factor8_direction
Intercropping,10.1371/journal.pone.0200274,Cropping system productivity,Fertiliser application,"More diverse plant communities, when compared to their sole grass counterparts, yielded 66% more total biomass when receiving no N-fertilizer. However, symbiotic effects were less pronounced when sole grass received 8±100 kg N ha-1, resulting in a 32% increase. Effects from intercropping continued to decrease with increased sole grass fertilization comparisons (101±200 and 201±500 kg N ha-1), resulting in 14 and 8% NPP increases, respectively (not significant).",Crop type,"Grasses with C3 photosynthesis, when grown in polycultures with legumes, resulted in a 57% increase from grasslands with grasses alone, whereas C4 grasses resulted in only a 31% increase (LnR = 0.27). Effect of intercropping varied with grass genera: e.g. the summary effect was 2.9 and 2.3 x the magnitude of the control group for Bouteloua and Sorghastrum and only 0.98 for Schedonorus (192, 129, and -2% change,respectively). C4 grass polycultures had 48% greater CP when grown in mixtures compared to monocultures, whereas diverse C3 grass mixtures only increased CP by 21%.",Crop/cultivar combinations,"Warm-season legumes had reduced efficacy in mixtures (27% increase) compared to cool-season legume species. Polyculture yield response for perennial legumes was 50% greater than controls (all sole grass stands with and without fertilizer), followed by a 28% increase for biennial legumes, and a 0% increase for annual legumes. Including only one legume resulted in the highest (P<0.05) percent increase in NPP (52%), whereas two legumes in a mixture resulted in only 6% increases. Warm-season legume polycultures also had higher CP compared to their cool-season counterparts (52 vs. 23%). Annual legume intercrops only increased CP 10% compared to a 38 and 35% for biennial and perennial species, respectively.",Climate,"Effects were greatest (114% change) in Mediterranean climates followed by oceanic (84%), and tropical savanna (65%) environments; conversely, semiarid and subarctic systems had lowest changes (5 and 0% change, respectively)",Soil texture,"A 122% NPP increase was observed in silt clay soils compared to 14% for silt loam soils. Soils with higher cation exchange capacity (i.e., silty clay, clay loam), compared to more drought prone textural classes (i.e., loamy sand and sandy loam) resulted in higher CP.",Temporal treatment establishment,"NPP increase due to intercropping was greatest prior to 1971 (61% change), compared to recent studies (2011±2016; -7% change)",Row distance,Greater grass-legume row distances had improved facilitation (e.g. 31±45 cm resulted in 187% greater CP levels compared to 16±30 cm distances only having a 21% increase),NA,NA
Leguminous crops,10.1371/journal.pone.0200274,Grassland production,Fertilisation rate,Effects from legume intercropping continued to decrease with increased sole grass fertilization comparisons.,Photosynthetic pathway of grasses,"Grasses with C3 photosynthesis, when grown in polycultures with legumes, resulted in a 57% increase from grasslands with grasses alone, whereas C4 grasses resulted in only a 31% increase",Perennial/annual legumes,"Perennial legumes, with assumedly better established and larger root systems (i.e. greater surface area for nodule root infection and greater yield stability during stochastic weather events) had higher total NPP responses. Specifically, polyculture yield response for perennial legumes was 50% greater than controls (all sole grass stands with and without fertilizer), followed by a 28% increase for biennial legumes, and a 0% increase for annual legumes",Number of legumes in association,"Including only one legume resulted in the highest (P<0.05) percent increase in NPP (52%; n = 2,500), whereas two legumes in a mixture resulted in only 6% increases (Table 1). Such reductions could be due to inter and intra-specific competition due to dense grass plantings, thereby not allowing for niche differentiation or separation.",Irrigation,Non-irrigated agro-grassland systems resulted in greater RR (45% change) compared to irrigated studies (3.4%;,Seeding technique,"The highest percent change (i.e. 70%) was observed for legume-grass row spacing of 0–15 cm, thereafter, efficacy declines occurred until 90-cm spacing. This result suggests closer row spacing (i.e. 0-15-cm) is optimal for heightened BNF transfer and rhizodeposition. Also, drilling legumes compared to broadcast seeding and transplanting tended to favor greater facilitation relative to grass only controls",NA,NA,NA,NA
Agroforestry practices and systems; Cover and catch crops; No tillage and reduced tillage,10.1371/journal.pone.0215702,Soil physico-chemical quality,Timing of measurements; Years of treatment; Precipitation,"especially in no-till studies; There was a significant improvement in infiltration rates when cover crop experiments were in place for more than four years (30.0%, confidence interval 1.7–51.3%, representing 34 of the 71 comparisons); Effect of no-till stronger in humid climate",Experimental length; Soil texture,which did not significantly affect results; The effects of cover crops on infiltration rate improvements were greater in coarsely textured soils with higher sand contents and less clay,Soil texture; Associated practices,"There to be a significant increase in infiltration rates when experiments combined cover crops with no-till (compared to no cover crops with no-till; 44.6%, confidence interval 11.6–77.5%)",Combinations of practices,such as no-till with residue retention and cover crops,climate,NA,study location,NA,NA,NA,NA,NA
Crop rotation,10.1371/journal.pone.0219847,Pests and diseases,Weed measurement unit,"Suppression of weed density was greater (p = 0.001) in diverse rotations where individual weed species were measured (-70%) compared to those where multiple weed species
were measured together (-38%).",Temporal variance around crop planting dates,"The effect of crop diversification on weed density is likely linked to associated increases in heterogeneity in the timing of disturbance events, such as planting.",Tillage,The effect of crop diversification on weed density was stronger (p = 0.003) for zero-tillage systems (-65%) compared to tilled systems (-41%),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crop residue management,10.1371/journal.pone.0231740,Crop yield,Crop type,"The results for soybean, rape, and pea overlapped zero, suggesting no significant effect ofcrop residue return on their yields. Wheat crops had the smallest increase in yield associated with crop residue return (2.7%). The effects ofcrop residue return on the yields ofrice and corn crops were 5.3% and 8.0%, respectively.",Irrigation method,"The effect of crop residue return on crop yield was also impacted by the irrigation strategy. Without irrigation, crop residue return increased crop yield by 11.9% compared to no-straw. Crop residue return increased crop yields by 8.5% and 3.4% for paddy and irrigated crops, respectively. The type ofirrigation water used also significantly affected the effect ofcrop residue return on crop yield. Crop residue return increased the yields ofcrops irrigated with fresh water by 4.9%, whereas those ofcrops irrigated with brackish water were reduced by 9.5% compared to no-straw.",Tillage,"For the different tillage measures, the order ofyield increase associated with crop resi- due return was: harrow plowing tillage (14.7%) > chisel plow tillage (9.9%) > rotary tillage (6.0%) > mouldboard plowing tillage (5.5%). No difference in crop yield was recorded between crop residue return and no-straw treatments under no-tillage. Crop residue return increased yields by 6.5% for plow depths >= 20 cm but no difference was recorded for depths < 20 cm.",Fertliser type,"The type of fertiliser also significantly affected the impact ofcrop residue return on crop yield. Where no fertiliser was used, crop residue return had no effect on crop yield compared with no-straw, but increases in crop yield were observed when crop residue return was used in conjunction with fertilisation by NK (20.0%), NP (7.2%), NPK (4.3%), and NPK+ organic fertiliser (15.5%).",Mineral N fertiliser amount applied,"The amount ofN fertiliser also significantly affected the impact ofcrop residue return on yield. Without N fertiliser, crop residue return had no impact on yield compared with no-straw, but at low rates ofN application (0–100 kg N ha-1), crop residue return increased crop yield by 10.8%, which was the highest level of improvement with the various rates of N fertilisation. At medium (100–150 kg N ha-1) and high (>150 kg N ha-1) rates, crop residue return increased yields by 6.3% and 5.1%, respectively, compared to no-straw.",Duration of treatment,"The number ofyears over which crop residue return was practiced significantly affected the effect ofcrop residue return on crop yield. The greatest increases in crop yield were observed with experimental duration ofcrop residue return of 3–10 years (7.1%). No difference in crop yield was observed between treatments with experimental duration > 10 years. An increase in yield of 5.4%, compared to no-straw, was observed for experiments where crop residue return occurred for <= 2 years.",Cropping system type,The type ofcropping system also significantly affected the yield increase associated with crop residue return. The increase was 10.1% in cases with one crop per year and significantly higher for cases with two crops a year (3.5%).,Climate,"Crop residue return increased yields by 9.5% and 6.0% with annual rainfall of>= 800 mm and 400–800 mm, respectively, compared to no- straw. There was no difference when annual rainfall was < 400 mm."
Crop residue management,10.1371/journal.pone.0231740,Water use,Crop type,"Crop residue return significantly increased WUE for corn (13.7%), and wheat (13.2%) compared to no-straw (P < 0.05).",Mineral N fertiliser amount applied,"The greatest increase in WUE caused by crop residue return was recorded for crops with medium rates ofN fertiliser application (100–150 kg ha-1), with a mean increase of23.3%.",Soil organic carbon,"The greatest increase in WUE caused by crop residue return was recorded for crops with medium rates of N fertiliser application (100–150 kg ha-1), with a mean increase of 23.3%. Increases in WUE caused by crop residue return were 25.5% for >= 15 g kg-1, 19.2% for 10–15 g kg-1, and 7.5% for <=10 g kg-1 soil organic matter.",Mean annual temperature,The increase in WUE induced by crop residue return was greater at temperatures < 10 C (19.9%) than at 10–15 C (5.9%).,NA,NA,NA,NA,NA,NA,NA,NA
Livestock housing techniques,10.1371/journal.pone.0232853,Air pollutants emissions,Litter conditioner type,"There was a significant reduction of ammonia with gypsum utilization (SMD = -6.375, IC = -11.354 - -1.396, P = 0.012) and acidifying (SMD = -1.075, IC = -1.898 - -0.251, P = 0.011) as treatments. Alkalizing, adsorbents and superphosphate group did not differ statistically from the control group (P>0.05).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livestock housing techniques,10.1371/journal.pone.0232853,Animal production,Litter conditioner type,"Favorable response to weight gain in broilers reared in litters treated with acidifiers (SMD = 0.570, IC = 0.095–1.044, P = 0.019); while adsorbents, alkalizers and gypsum did not differ statistically from the control group (P> 0.05). Feed conversion of birds raised in litter treated with gypsum (MD = -0.063; IC = -0.117 - -0.009, P = 0.023) was better than those in the control group, in contrast, alkalizers (MD = 0.034, IC = 0.015–0.053, P <0.001) had a worse feed conversion. Mortality in the treatment with acidifiers there was a significantly reduced when compared to control group (MD = -0.664, CI = -0.932 - -0.397, P<0.001); while in the treatment of alkalizing agents, there was a significant increase in the mortality of broilers (MD = 1,020, IC = 0.648–1,392, P<0.001) and no effect of the treatment of the litter with gypsum (P> 0.05).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing management,10.1371/journal.pone.0236638,Carbon sequestration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing management,10.1371/journal.pone.0236638,Soil biological quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing management,10.1371/journal.pone.0236638,Soil nutrients,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing management,10.1371/journal.pone.0236638,Soil physico-chemical quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing management,10.1371/journal.pone.0236638,Soil water retention,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livestock feeding techniques,10.1371/journal.pone.0246922,Animal production,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livestock feeding techniques,10.1371/journal.pone.0246922,Global warming potential (LCA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livestock feeding techniques,10.1371/journal.pone.0246922,Nutrient excretion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livestock feeding techniques,10.1371/journal.pone.0249053,Animal production,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livestock feeding techniques,10.1371/journal.pone.0249053,GHG emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mulching,10.1371/journal.pone.0262120,Crop yield,Crop type,"The yield of maize and wheat under SM were remarkably increased by 18.61% and 36.36%, respectively, while the effect of SM on rice yield was insignificant.",Irrigation method,"Relative to NSM, drip irrigation, surface irrigation and rainfed under SM all greatly increased crop by 22.76%, 30.60% and 21.35%, respectively.",Mulching material,"Compared with NSM, gravel mulching remarkably increased crop yield by 39.18%, straw mulching only slightly increased crop yield by 10.93%, under plastic mulching, crop yield was increased by 24.23%.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mulching,10.1371/journal.pone.0262120,GHG emissions,Crop type,"GWP was also increased by 24.68% and 22.54% due to an increase in CO2 emissions from maize and wheat fields by 26.07% and 25.95%, respectively. GWP was drastically reduced by 34.71%. In rice fields, N2O was increased by 50.39%, while CH4was decreased by 55.63%, resulting in the general reduction ofGWP.",Irrigation method,"Surface irrigation and rainfed increased GWP by 18.70% and 32.97%, respectively, as using the above two irrigation methods CO2 were increased by 16.51% and 19.66%, and the increase of N2O was 10.77% and 10.45%, respectively. Besides, drip irrigation slightly reduced GWP by 2.59% due to the decrease of N2O, although CO2 was increased by 26.38%.",Mulching material,"Compared with NSM, grave mulching decreased GWP by 10.86% due to the 12.83% reduction ofCO2. Straw mulching lead to a small increase of GWP (5.61%). Under plastic mulching, GWP was increased by 14.17% due to the increase of CO2.",Mulching patterns,Flat mulching has no effect on GWP while ridge mulching increased GWP. Flat mulching decreased CH4 emissions while ridge mulching has no effect.,Mulching area,Mulching on full area has no effect on GWP while mulching on partial area increased GWP. Mulching on full area decreased CH4 emissions while mulching on partial area has no effect. Mulching on full or partial area shows no difference for N2O emissions.,NA,NA,NA,NA,NA,NA
