"sustainability_outcome","impact_matrix","impact_positive_effect","metric_std2","metric","metric_positive_effect","metric_unit","doi","fpid"
"Sustainable use of resources","Plant nutrient uptake","Increase","Land equivalent ratio for nitrogen uptake","Fertilizer N equivalent ratio (FNER)","increase",NA,"10.1016/j.fcr.2019.107661","Leguminous crops"
"Agricultural production","Cropping system productivity","Increase","Land equivalent ratio","Partial land equivalent ratio (PLER: the relative yield of an intercropped speciescompared to its yield in a sole crop)","increase",NA,"10.1016/j.fcr.2016.08.001","Intercropping"
"Sustainable use of resources","Water footprint (LCA)","Decrease","Water footprint (LCA)","Water footprint (gray)","decrease","volume of freshwater required to assimilate the pollutant load","10.1016/j.jclepro.2020.122307","Water-saving irrigation practices in non-flooded lands"
"Sustainable use of resources","Plant nutrient uptake","Increase","Nitrogen use efficiency","NUE (in kg of dry matter (DM) per kg of N applied)","increase","% of N applied which is recovered by plant uptake, in shoot + root","10.1080/01904167.2018.1426018","Enhanced efficiency fertilisers"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon sequestration rate (soil)","C sequestration","increase","C t /ha /year","10.1017/S0021859614001002","No tillage and reduced tillage"
"Agricultural production","Crop yield","Increase","Crop yield","Crop yield (overall)","increase",NA,"10.1017/S0021859614001002","No tillage and reduced tillage"
"GHG emissions","GHG emissions","Decrease","Aggregated GHGs emission (soil)","Net emission of GHG","decrease",NA,"10.1017/S0021859614001002","No tillage and reduced tillage"
"Agricultural production","Crop yield","Increase","Crop yield (grain)","Soybean yield","increase",NA,"10.1017/S0021859614001002","No tillage and reduced tillage"
"Agricultural production","Crop yield","Increase","Crop yield","Wheat and barley yield","increase",NA,"10.1017/S0021859614001002","No tillage and reduced tillage"
"Carbon sequestration","Carbon sequestration","Increase","Soil organic carbon stability","SOC stability (the ratio of alkyl to O-alkyl groups and the total alkyl to aromatic ratio)","increase",NA,"10.1007/s00374-021-01580-2","Crop rotation"
"Agricultural production","Farming system productivity","Increase","Land equivalent ratio (LER)","Land equivalent ratio (LER) based on forage yield","increase",NA,"10.1007/s10457-020-00494-6","Agroforestry practices and systems"
"Agricultural production","Farming system productivity","Increase","Land equivalent ratio (LER)","Land equivalent ratio (LER) based on livestock output","increase",NA,"10.1007/s10457-020-00494-6","Agroforestry practices and systems"
"GHG emissions","GHG emissions","Decrease","Aggregated GHGs emission (manure)","Aggregated GHGs emission during land application","decrease",NA,"10.1021/acs.est.5b00018","Manure processing techniques"
"GHG emissions","GHG emissions","Decrease","Aggregated GHGs emission (manure)","Aggregated GHGs emission during storage","decrease",NA,"10.1021/acs.est.5b00018","Manure processing techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (soil)","CH4 emission during land application","decrease",NA,"10.1021/acs.est.5b00018","Manure processing techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (soil)","CH4 emission during storage","decrease",NA,"10.1021/acs.est.5b00018","Manure processing techniques"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (manure)","N2O emission during land application","decrease",NA,"10.1021/acs.est.5b00018","Manure processing techniques"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (manure)","N2O emission during storage","decrease",NA,"10.1021/acs.est.5b00018","Manure processing techniques"
"GHG emissions","Global warming potential (LCA)","Decrease","Global warming potential","Overall global warming potential (as carbon dioxide equivalents) of CH4, CO2 and N2O emissions.","decrease",NA,"10.1021/acs.est.5b00018","Manure processing techniques"
"Biodiversity","Pests and diseases","Decrease","crop damage or disease","Wheat stripe rust intensity","decrease",NA,"10.1016/j.cropro.2011.11.020","Intercropping"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (microbes)","Soil microbial quotient","increase","Microbial carbon MB-C /TSOC total soil organic carbon","10.1016/j.soilbio.2009.08.020","Organic farming systems"
"Soil health","Soil biological quality","Increase","Soil fertility","Soil metabolic quotient (qCO2)","increase","qCO2","10.1016/j.soilbio.2009.08.020","Organic farming systems"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon sequestration rate (soil)","Soil organic carbon sequestration to a depth of 0.3 m (MgC /ha)","increase","C t /ha /year","10.1016/j.jclepro.2020.125736","Cover and catch crops"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrogen leaching","Mass of nitrate nitrogen lost","decrease",NA,"10.1016/j.agee.2013.04.018","Water-saving irrigation practices in non-flooded lands"
"Agricultural production","Crop yield","Increase","Crop yield","Yield of subsequent crop","increase",NA,"10.1016/j.agee.2013.04.018","Cover and catch crops"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrogen leaching (product based)","Nitrate leaching-scaled yield (NLSY)","decrease",NA,"10.1016/j.agee.2013.04.018","Water-saving irrigation practices in non-flooded lands"
"Pollution","Air pollutants emissions","Decrease","Ammonia emission (manure)","NH3 concentration and volatility","Decrease",NA,"10.1371/journal.pone.0232853","Livestock housing techniques"
"Pollution","Air pollutants emissions","Decrease","Ammonia emission (mineral fertiliser)","Cumulative NH3 losses (% N applied)","decrease","% N applied","10.2134/agronj2016.04.0200","Enhanced efficiency fertilisers"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","Methane/yield","decrease","CH4 g /kg DMI","10.1371/journal.pone.0249053","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","Enteric methane emissions","decrease","CH4 L /day","10.3390/vetsci9090475","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 production (L/d)","decrease","CH4 L /day","10.1186/s40104-018-0305-6","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed efficiency","Gross feed efficiency","increase",NA,"10.1371/journal.pone.0249053","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 emission - Dietary gross energy lost as CH4","decrease","CH4 % of dietary gross energy","10.3168/jds.2012-5923","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 production/DMI","decrease","CH4 g /kg DMI","10.1007/s11356-018-3878-x","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed efficiency","Feed efficiency, kg/kg","increase","ECM (kg/ day) / DMI (kg/d) (ECM=Energy corrected milk; DMI=Dry matter intake)","10.1093/tas/txac028","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 intensity, g/kg of ECM","decrease","CH4 g /kg energy corrected milk (ECM)","10.1093/tas/txac028","Livestock feeding techniques"
"Agricultural production","Crop yield","Increase","Crop yield (grain)","Thousand grain weight","increase",NA,"10.15666/aeer/1801_433446","No irrigation"
"Soil health","Soil water retention","Increase","Soil water","Wilting point","increase",NA,"10.1016/j.geoderma.2019.114055","Soil amendment with biochar"
"Soil health","Soil water retention","Increase","Soil water","Plant available water content (AW)","increase",NA,"10.1016/j.geoderma.2019.114055","Soil amendment with biochar"
"Soil health","Soil water retention","Increase","Soil water","Soil water content retained at field capacity (FC)","increase",NA,"10.1016/j.geoderma.2019.114055","Soil amendment with biochar"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 production, g/d","decrease","CH4 g /day","10.1093/tas/txac028","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed intake","Ether extract intake","increase","Ether extract kg /day","10.3390/su13137410","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Weight gain","Final bodyweight","increase","Body weight kg","10.3390/su13137410","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed intake","Neutral detergent fiber intake","increase","NDF kg /day","10.3390/su13137410","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed intake","Acid detergent fiber intake","increase","ADFI Acid detergent fiber intake kg / d","10.3390/su13137410","Livestock feeding techniques"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (arthropod)","Artropods density","increase",NA,"10.1016/j.jnc.2020.125863","Grazing management"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (arthropod)","Artropods richness","increase",NA,"10.1016/j.jnc.2020.125863","Grazing management"
"Agricultural production","Animal production","Increase","Feed digestibility","Ether extract digestibility","increase","g /kg dry matter","10.3390/su13137410","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","Methane emissions/day","decrease","CH4 L /day","10.3390/su13137410","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Milk yield","Energy correted milk","increase","ECM kg /day","10.1093/tas/txac028","Livestock feeding techniques"
"Agricultural production","Crop yield","Increase","Crop yield","Average yield and yield increase (t ha-1)","increase","ton /ha","10.1007/978-94-007-0394-0_9","Leguminous crops"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","SOC (depth: 11-20 cm)","increase",NA,"10.2136/sssaj2007.0342","No tillage and reduced tillage"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","SOC (depth: 21-25 cm)","increase",NA,"10.2136/sssaj2007.0342","No tillage and reduced tillage"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","SOC (depth: below 26 cm)","increase",NA,"10.2136/sssaj2007.0342","No tillage and reduced tillage"
"Soil health","Soil biological quality","Increase","Functional parameters (mychorrhizal fungi)","Root colonization by mycorrhizal fungi","increase",NA,"10.1111/j.1365-2745.2010.01658.x","Grazing management"
"Soil health","Soil biological quality","Increase","Functional parameters (mychorrhizal fungi)","Arbuscular mycorrhizal fungi (AMF) abundance/colonization","increase",NA,"10.1007/s11104-018-3810-7","Cover and catch crops"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (microbes)","Microbial Phosphorus (Pmic)","increase",NA,"10.1007/s11104-018-3810-7","Cover and catch crops"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (aggregated)","Phosphatase activity","increase",NA,"10.1007/s11104-018-3810-7","Cover and catch crops"
"Sustainable use of resources","Plant nutrient uptake","Increase","Crop phosphorous uptake","Phosphorous uptake","increase",NA,"10.1016/j.scitotenv.2018.12.381","Soil amendment with biochar"
"Sustainable use of resources","Plant nutrient uptake","Increase","Crop nitrogen uptake","Silicon uptake","increase",NA,"10.1016/j.scitotenv.2018.12.381","Soil amendment with biochar"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (nematode)","bacterial-feeding nematodes","increase",NA,"10.1016/j.agee.2016.07.015","Organic fertilisation"
